document,label
폭탄소유로 반품안하면 신고받을까바 더무섭다,0
노쳐녀로 일만하다 늙을까 갑자기 겁나네...,0
너무 일들이 많고 특검팀들 너무 고될거같아요..,0
근데 좀 제가 여자같은 성격이란거먼저 말걸어줘야 말하는 스탈분명 남잔데...;;0,0
지금은  다 죽이고...,0
나 그럼 좋냐구하니까 편하다고 하구멀까 이거,0
기억이나 제가 날까요...,0
도둑이라고 저 몰아가면어떡하죠?? ㅠㅠ,0
시작해야할까요... 뭐부터,0
아무래도 무리겠죠?,0
만들어서 공업시대를  곧 멸망하겠네,0
복학해서 이번에 모가몬지도 잘모르고 그런데;;,0
아니고 영어도 시험보는 생활영어는 하다보면 는다.,0
어떻게 이럴땐  해야할지 고민이 많이 되네요,0
불안한  나날이고.ㅠ,0
 자연분만해보신 언니분들 ㅠ많이이아픈가요?,0
 어떻게 할수 있는 방법 없을가요,0
고민이라는..... 완젼,0
"아니지, 소지 못하게 해야 하는거 아닌가?",0
없는 설렘을 더이상 연애도 여자친구 좋아할까요?,0
?윗배가 계속 아팠던건 아니지만 처음이라 이게 가진통인가해서요...,0
"분명 빠른것이 아닐진데, 또 죄책감이 들고 쓸데없는 고민이 생기네요...",0
구하고 알바 지금 있긴한데...,0
먼가 이거 기사가 이상해...,0
해야 어떻게 이럴땐 되나요...?,0
지난  주말에 첫키스했는데...빠른건가요?,0
범죄 저 도로 일어나기 좋을듯.,0
아니냐?? 있는거 문제,0
바로 드시고 새벽에 주무시면 안됩니다!!!!!!!!!!!,0
1키로찌는건  몸무게 아니겠죠?,0
남지않아그런지 요즘얼마  고민이생깁니다.,0
 아닌가...?,0
대답해야 뭐라고 면접관들이 안좋게 보지 않을까요,0
더이상 설렘을 없는 연애도 여자친구 좋아할까요?,0
처음이라서 회사생활이 떨리구 긴장되네요!!,0
않게 아무렇지도 판단하는 팬들때문에 더 무섭다ㅡㅡ;;,0
기분 많이 말하면 나쁘겠죠?,0
근데 정보가 많진 않으니 선뜻 지원하기가 쉽지않네요,0
미세먼지 하는데 미세먼지없다고 있습니다 안심하지마세요,0
날까요...? 제생각,0
아침 오늘  핸폰에 안뜨길래 노트북으로 들어가봤는데도 없더라구요...,0
말하면  안좋게 보려나..,0
"사람한텐 사자, 호랑이보다 표범이 더 무섭다는걸 이늠들이 알기나 알까?",0
마음에자꾸 하는 혹시나 불안하네요..........,0
뭘하고살아야할지모르겠어요,0
저희 강아지가 다른 개를 물었어요,0
저는 그럼  어떻하죠?,0
끝까지 잘 살아야 할텐데...,0
혈압약 신체검사 할때 먹어도 이상없는걸까요?,0
불편하다고 되게 생리하면 들었는데어떻하죠?ㅠㅠㅠㅠ,0
떠오르네...세월호.....,0
뜨거워 고속충전하면 너무 뭔일 날줄알았다,0
그럼 연락하는 사람은 대체 누궅...?,0
저랑 회사가 너무안맞아서 그만두려고하는데전화로 그만둔다고 해도될까요??...,0
안되서 눈1초도 바로 피하는건 제얼굴이 혐오스러워서인가요,0
오래 못갈거같다...,0
집에서  실내바이크 자주타는데 이것땜에 그런가너무걱정되네요,0
전 이제 어쩌죠?0,0
가만히 하지 뭐라고 있다가 생각하다 보면 속으로 막 불안하고 그러잖아요,0
과연 2개월동안 7kg 빠질수있을까요?,0
위험한데 이거.... 와,0
못해도 제가 중상위권을 맴도는데성적이 자꾸 떨어져서..,0
싸웠는데 아빠랑 아빠가 화나면 뭐든 다 그냥 던지거나 부숴버린단말야,0
어떻게해야할지 ;ㅅ;,0
 명문대 나와도 행복할수있을까도 의문이고..,0
걱정도 아닌지 손이짤린건 해봣어요.....,0
라고  연락 해볼까하다가도괜히 눈치없이 미련있어 보일까봐 하지도 못하겠고..,0
 선생님께서 10시이후에 다른친구나 선생님께 전화나 문자하면 벌받는다고 하셔서..ㄷ,0
올해30여자입니당어떡하죠?ㅠ,0
점점 스토커 처럼 변할거같아서 두렵다...,0
두 전까지? 대학가기 달정도 해볼라 하는데처음치곤 무리는 아니겠쬬???,0
되는거냐........ 믿어도,0
더클수는  없는걸까요..,0
"다이어트 10kg 감량이 목푠데 안 그래도 없는 가슴, 엉덩이 빠질까 봐 걱정돼요",0
뒷북 너무  치듯이 사과한건 아닐까요..?,0
허리가 했는데 이거 아플수도 있나요? ;;,0
도대체 식단을 어떻게 해야 할지 모르겠습니다 ㅠㅠ,0
가 내일 볼 생각인데 도데체 어떻게 해야될지 모르겠어요,0
월급날이 언제인지도 모르는데..오늘 퇴근 하기전 물어봐도..될까요?,0
 이게 뭔지;;,0
그런데집에서는 자꾸 월급이 얼만지 얼마나 모았는지를물어보라는데.......,0
 우주선에서 죽을 가능성도 있겠네요.,0
다다음주에친구들끼리 생리통도심하고배아픈데 워터파크도가는데 짝남도 온다는...ㅎ,0
그냥 멍 하네요,0
생리를안하네요ㅠㅠ 살을뺀직후로 근데,0
이유도모른채 저는 연락할것도 못되네요,0
민폐진 않겠죠?,0
일주일치 약을 그런데 3번 정도 먹었는데 이럴경우는 아기를 낳아도 문제가 생기죠?,0
지내야할지 어떻게 막막하네요,0
이영화 뭐  보면 대통령이 바뀔까봐 겁나?,0
무섭다..진심...으로 알수록 알면 최순실보다 무섭다....,0
왠지  선물잘못해준거같아서 걱정이 되서요..,0
"다 제탓이고 해서 혹시나? 좋은곳 못가고 있을까봐염려되기도 하구요,,",0
빠지면 그러다가  귀신같이 권혁이 다시 올거야,0
큰일이네요.,0
우리나라도 슬슬 준비해야 되지 않을까 싶은데...... 큰일이다....,0
비정상일까요? 제가,0
성욕이 없어져요,0
일반전형으로 만약  가면 더 힘들겟죠?,0
그리고 알바를 처음 해보는데..,0
누나가 걱정하드라 ;;,0
모르겠네요 괜찮은건지 ,0
그때  입금 시켜줄 가능성이있는지...,0
ㅋㅋㅋ이런날 혼자 곡성보러가면 밤에 무서워서 지릴듯,0
어떻게  해야할지 모르겠어요..,0
 이상하네요;,0
군대 갔다와서 다시 수능을 칠까요?.....,0
실적때문에 너무 힘들다는 들었지만 어느정도인지..,0
방금 광주 지진 ㄷㄷ,0
개무섭 실사판인가 해운대,0
알려진  방법이 많고 보안 패치도 더 이상 제공하지 않는 윈도우 7 해킹이 훨씬 쉬울테니 ....,0
혹시나 남자친구가 시간 지나 우리 연애에 지겨워 할까봐 걱정이에요..,0
같은 롯데랑 NC도 경남지역인데 왜 롯데랑 동선차이가 이렇게 많이남?,0
풀렸대여?????풀렸을가여?? 휴가 2ㅠ혹시,0
건강해서 그래도 이상없어 다행이다 락스로도 안지워진다니까 무서웠다,0
무섭네요 좀,0
알바인데 첨하는 편의점 가르쳐준다는게혼자서 '요래요래요래 하면 됩니다' 하고 가버림....,0
천국가겠군여ㅠ 초음속으로 사고나면,0
예전회사들도  퇴사한다고하면 다니는 동안 계속 눈치주고 그래서 말하기가 무서운데..,0
세상사람들은 그래요 모두 짝이 있는데문제는 짝이 벌써 사고로 죽었거나 다쳐서 식물인간이면만날수가 없지않나요?걱정되네요0,0
그때마다  과연 네이버가 관리하는게 맞는지 의구스러움.,0
학교 슈발근데 아 가야 하나용..?0,0
연애에 남자친구랑 확신이 없어요..,0
걱정이네 추워진다는게 점점,0
애기집도 지금쯤이면 그럼 보이고 수치도 좀 어느정도 있어야하는거 아닌가요?,0
여자나 정말 남자나 로봇과 성관계를 맺는 것이 일반화 되는 시대가 온다면 인류가 멸종될수도 있겠네요...,0
너무  혼란스럽네요,0
밝히면 퇴사의지를 전화로 급여안주겠죠??......,0
방송이  무너집니다,0
딱 이번달로 2년지나 토스/토익이 다 끝났네요토익이야 시원하게 다시 봐도 될것 같은데토스가 좀 걱정이네요 ㅠ,0
진짜제정신이아이네...,0
 주민번호도 몰라서요..,0
해야되요 어떻게 저 ....,0
제가 붙잡으면 다시 또 힘들어할까봐 걱정됩니다..,0
남자친구가 제 번호를안쓴걸까요????,0
결혼식이 이제  2주 정도 남았어요.,0
사진다가려서 ㅈㄱㄴ 없앨라 하는데 아떻게 없애는지 모르겟다ㅠㅠㅠ,0
루니지 그러고도 못끊는게 또 고민1,0
혹시 제가  내진 하냐고 물어보니까 많이 겁먹으면안해도 된다고 하네요..,0
힘든일이 가장 그리고 무엇인가요?,0
진짜 영상으로 봐도 후덜덜~~옴마 넘 무섭다,0
못느끼겠어... 잘 몸에변화를,0
한화에 그분도 조심해야할듯,0
근데 문제가 저희 휴가증 체계가 바꿔어가지고..,0
제가 심각한 고민이잇어서요,0
 이상하게 신경쓰여서 고민..0,0
 이러는거에요 요즘 A가 절 피하진않는데 싫어하는것같기도하고 아닌것같기도해요,0
니가없는  다른 계절이 너무 무서워 따뜻해지는 날씨가 두려워,0
가자니 찾아보고 인터넷에서 이것저것 왠지 머리 아프고 엄두도 안나고..,0
이어폰끼고 귓구녕에 스마트폰보며 걸어다니는 좀비들이 더 위험하다.,0
실제로보면 오빠를  말이 제대로 할수 있을지 걱정돼요.,0
어플계속다운받아서 모아앱으로 핸드폰하다가 핸드폰 불날꺼같음 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0
어쩌죠 진짜...0,0
많이 걱정이  되네요,0
수출하면 북한에 우리나라 좃되는데 ㅜㅜ,0
스케치북접은거는 근데 무게가 약간 차이가 쪼끔잇어서우표 두장을 붙였어여 ㅠㅠ가겠져??ㅠㅠㅠㅠㅠ,0
이거 무슨뜻인가요?,0
갤7엣지 인대 불안...,0
정권 바뀌면 뽕년과 함께 죽은 목숨이다...,0
제가  못된건가요?,0
아니죠...?? 크게 다친건,0
그러면  학교에서 부모님께 바로 전화가 오나요?,0
있기 장단점이 뭐든 마련이다만 총기소지법 문제는 정말 신중하게 생각할것...,0
나한테 어장쳤던애한테 복수아닌복수하려하는데 너무 유치할까....??,0
진짜 허탈하네요,0
 지금 돈벌기 시작해도 늦지 않은걸까요??,0
때 이럴 어떡하면 좋죠?,0
흔한 일인가요???,0
"사자, 사람한텐 호랑이보다 표범이 더 무섭다는걸 이늠들이 알기나 알까?",0
도와주실분 없나요..,0
진짜  모르겠네요 ~~,0
먹구름이 무서운 온다.죽음의 비를 내릴 것이다.,0
인공지능은 태화하고 뇌는 발달하고 곧 기계가 너흴 지배할 것이다.,0
저에 저는 대해서 잘 모르겠어요,0
모습 어떤  숨기고 있을지 모름,0
전  어떻해야 되죠,0
"지금 노트2로 댓글 다는데, 불안하다 ;;;;;",0
쫒겨났어요. 살다가 부모님집에서,0
쉬운 흠집나기  재질이 아니면 되는데...,0
안붙잡았을경우후폭풍있긴있을까요? 미련없이 남자가,0
학생들이 대부분 그렇겠지만 꼭 대학을 가야만하나 하는 생각이 듭니다.,0
시부모님앞에서는 근데 뭐라고 해야할지 모르겠어요.,0
들어와서 오늘 처음 쓰는 편지라 되게 어떻게 써야할지 모르겠어요오..,0
헤어지자던 내가무서워서 여잔대 집앞까지찾아가서 나오라했으니 얼마나무서웠을지 이제서야 그런생각이드네..,0
해운대영화가 겁난다겁나 진짜 그냥나온게아니네,0
이럴경우  어찌 하면 되나요,0
계속 인구도 줄기 때문에 더 심각한거군,0
 어떻게 해야할까요..,0
그런데 약을 일주일치 3번 정도 먹었는데 이럴경우는 아기를 낳아도 문제가 생기죠?,0
그런데 어떻게 해야 하나요? ;;,0
군대기다려준 남자들은 여자들?한테 질리고 그런다던데걱정이 되네요....,0
정말 하니 부탁을 당황스럽고 어떻게 해야할 지 모르겠습니다.....,0
있어요 죽을수도 가서,0
의문이네 믿어도대는지가,0
겁나네요.. 너무 페이스북에뜨는거보니,0
현관문앞에 주황색 코트랑 안경쓴 여자애가 문구멍으로 나 쳐다보고있었던거...,0
없는데34살인데 통증은 글타고 뿌그덕;;;;,0
이러다가 한반도에 날개달린 짐승은 싹 없어지는거 아니냐?,0
아니 썸타던 남자애한테 정말 맘먹고 고백 했는데 뭐 자기 혼란스럽다,0
종말이 세상 ㅉㅉㅉㅉ 올거같다,0
했는데 알았다고는 일단 자꾸 캥겨요,0
왜 질문 친구많냐는 저한텐 안할까요?;;;,0
무섭다...... 끔찍하게,0
트집잡는 손님도 많다고 하고 ....,0
방법없을까요? 어떻게 ,0
과연 그때마다  네이버가 관리하는게 맞는지 의구스러움.,0
"포트폴리오도 별로없고, 경력도 없기에 어디 이력서낼 엄두도 못하고있네요..",0
지금 솔직히  너무 좋아서 미치겠는데 나중에 질릴까봐 너무 무섭다 안 그랬으면 좋겠어,0
두렵다고 버려질까봐,0
저야 물론 첫 달이기에 월급에 대해서는 회사에서도 아직 아무런 말이 없지만솔직히 불안합니다.,0
헤어지곤싶은데 저어쩌죠  너무 힘들까봐 그게너무 두려워요,0
용의자라도 테러나면 우리나라는 추릴수있을라나..,0
평생 먹을 취칙자리 찾아야 돼는데 그개 말이야 쉽지...,0
미래에 대해 참 불안해요.,0
해달라고 손님이 폰충전 맡기셧는데 어떻게해요ㅠㅠ?,0
진짜 한두시간 정도밖에 안지났다고 생각했는데..ㅠㅠ,0
난이도좀말씀해주세요 ㅠㅠ,0
옥시때문에 안전한가요? 모기매트는 의심이 늘어서,0
끝내고 서둘러 회사일 와서  조마조마한 마음으로 시청했습니다.,0
나쁜놈인가요 제가 ㄷㄷ...0,0
소액결재 매월 핸드폰 50만원 이상합니다,0
사람들이 군인들은 제대하고 나면 여자친구도 차버린다고 하던데..,0
너무 면접보는게 두려워요ㅠㅠ,0
그런 뭐  의도는 없었겠지만...걱정이네요...,0
평이 호불호가 갈리던데..,0
어떡하면 때 이럴 좋죠?,0
폭탄인데 휴대용  불안하지도 않나,0
폭우가 아마도 소강이라고했으니 올것 같다.,0
놓치고 정말 아 싶지 않고 많이 생각나는 사람인데그녀에게 21개월이라는 부담을 주고싶지않아요..,0
"높고, 진에어는 정시출발율도 대표공항들 지연율도 높은데 어떻게 저럴수가 있지?",0
극과 완전 극이라서고민...,0
아에 중간고사  안보면 F 일텐데 ;;,0
여긴 항상 차로 지나갈때마다 덜덜덜덜...대체 공사 언제 끝나는거죠??,0
오픽 토스나 요즘 없이는 취업이 힘들다고들 하는데...,0
많이 이거 심각한 수준인가요..?,0
안나와요  말이,0
빨랑 우리도 아놔 좀 하자,0
 안맞아도?경영쪽으로 가는게 나은건가요?,0
유튜브에 찰스형 비난 영상이 왜케 많은지 모르겠다,0
이렇게 언래 돈이 마니 빵꾸가 날수도 있나요..,0
저도  진짜 모르겠네요,0
삭제가되있어서 수신확인목록까지다  걱정이되가지구요 ㅠㅠ,0
데이비드 윤은또뭐냐?,0
나방금도계솟반복햇는데나같은애들잇나..?ㅜㅜㅜㅜㅜㅜㅜㅜ,0
일인가요...! 가능한 이게,0
여자두명이랑연락햇는데 요번주만해도  친구추천에 두명다떠서 당황;,0
아는분.  왜이러는건지,0
이것때문에 진짜 사고날뻔했어요,0
불안해- 하루하루 너땜에난,0
 정말 뭔가 가족이 떠나는 느낌이 드는데요요즘 군대때문에 불안해하고..,0
스마트폰 게임중독보다 중독이 더 무서운거같음,0
병원에도 주말이라  못가보고..걱정스러워요,0
 내년에 잘 될까요,0
아직  2주도 안됫는데 벌써부터 증상들이 나타날수 있는건가요?,0
뭐라고 하지 가만히 있다가 생각하다 보면 속으로 막 불안하고 그러잖아요,0
딱 3인데333 3333이렇게 나오기도 쉽지 않겠구만--;;0,0
요즘 김현수 선수 두산과 두산팬들 한테 무안할 정도로 거리 둔다는데 왜그러는거죠?,0
어떻게 앞으로 살아갈까요?,0
불안하다. 국민이 온 도대체 ㅜ.ㅠ,0
저말에  의미 두면 안되겠죠...?,0
이름없는 기존에 작은 업체에서 사기를 당한적이 잇어서 영 쉽지 않네요.,0
문제있을까봐 놀래서 혹시나 걱정이에요 ㅠ,0
걸리고나서는 한번 위염 먹는거 조심하게 되더라..,0
답이 원래  빠른사람은 아닌데 이렇게 연락이 안되니까 혼자 이상한 상상하게되고 너무불안하고 초조하고 힘들고 미칠거같아요,0
안질렸으면 난 좋겠다..,0
신고안하면 제가  아무한테나 욕하는 메세지 넣고 나중에 더한 것도 하겠죠??,0
 저말에 의미 두면 안되겠죠...?,0
부산은 영화 해운대같이 쓰나미 올까봐 무서움,0
있는데 외계인이 괜찮을까,0
시험 기능  한번에 붙어서 난 이렇게 쉽게 따면 운전 하기 겁나던데...,0
해아 어떻게  하는겁니까?,0
있으시면 근무중이신분 혹시...근무해보신분이나 답변좀..........,0
될지 해나가야 계속 모르겠어요.,0
입대는 이미 해버렸고 답이서질않네요~,0
 몸무게 1키로찌는건 아니겠죠?,0
다른나라에서 이러다가 명예 회복 해달라고 국제 소송 거는거 아닌가? ..,0
못하는데 물어보는거 먼저 ㅠㅠ,0
하루하루 불안함을 안고사네요.,0
 두렵고살떨려서 집에서도불안해요,0
이틀전  굳이 부재중을 이제야 물어보는 이유는 뭘까요..,0
득이 될지 실이 될지...,0
그런게있나요...? 서류작성하던가 ,0
항공과 제가 26살이면 1학년들중에도제일 나이많겠죠....,0
하면 어떻게 좋을까요.,0
"속으로 오만가지 욕설이나 음담패설을 생각할텐데, 그게 다 업로드 된다면...",0
없다고 저는 그래서 했는데 자꾸 아이가 하고싶다고하네여 ㅡㅡ;;,0
어떻게 도대체 식단을 해야 할지 모르겠습니다 ㅠㅠ,0
많이 제가 아니면 이상해 보여서 그런가요?,0
신경쓰시는게 본인몸부터 좋을듯해요,0
너무  긴장이됩니다.,0
고지능 이주하다 외계인 만나서 침략당하면 우리 ㅈ되는거임,0
생태계 자연 우리나라 도로를 콘크리트로 막아버리니 앞으로 공기오염으로 강한비가 예상되고 땅속에서는 마그마가 숨을 쉬기위해 나올것이다 앞으로,0
하나의  왜 폴더만 사라진걸까요..,0
하나요? 해야 어떻게,0
해야 어떻게 할까요??0,0
좋겠죠...? 빨리이직하는게,0
너무나 그래도 두렵습니다..,0
이렇게까지 하나요 원래??,0
안좋은경우인가요??? 감기오래가면 ,0
발견 땅굴 유투브 전쟁임박,0
보름이나  예정일이 지나도 생리를 안해요,0
3333이렇게 3인데333 딱 나오기도 쉽지 않겠구만--;;0,0
  이게 도대체 왜필요한거죠?,0
폭력이시작되면 끝내야하니까끝임,0
그리고 아따맘마 14권이 일본에서도 아직 안나와서 또 고민0,0
목소리가 남자의 어찌 이렇게 고운 목소리가 나오는지 궁금해서 고민...,0
못잊은거같은데 아직 제가 어떻게해야하죠?,0
많이 마음이  식은게 느껴져요,0
길어 좀 글이 올릴까 말까 고민되네요,0
크기가 성기 너무 작아 고민입니다..,0
강아지가 저희 다른 개를 물었어요,0
 제발 조언 부탁드려요,0
아싸리 첫날안가서 왠지 아싸가 될꺼같은 기분...,0
돈벌기 지금  시작해도 늦지 않은걸까요??,0
싶었는데 타보고 궁금해서 개통하기가 무섭게 이런기사들보니 못타겠다,0
조금만 숨겨주세요,0
노트4 밧데리가 배불뚝이가 되어가는데 사용해도 될지?,0
무슨 일이라도 생겼나...,0
진짜 와. 무섭다.,0
가서 뭘어떻게 해야되는지도 모르겠고~,0
보통  이렇게 연락이 없는거 맞나요??,0
소포는 제 이미 3일전에 부대에 도착했거든여 ㅜㅜ,0
어케해야될까요 군대땜에저 ,0
지구온난화로인해  결국은 인간종말이 될지도..?,0
로 지진은 한쪽에서는 뒤집어지고 한쪽에서는 불타서 뒤집어지고 한쪽에서는 물난리로 뒤집어지고 이 한반도는 왜 조용한것인데 마치 폭풍전야 ㅎㅎ,0
아진짜 깨우면 나한테 ㄱㅈㄹ 할껏만같은 두려움.......,0
면접준비를 아직 제대로 못해서 걱정이에요.,0
커피집  종업원인지......나만 그런가???,0
저는 전문대세무회계과를 나왔고 회계쪽은 한번도 일안해봤거든요..,0
어느정도 한국말을 일단 기본은 할 줄 알아야 하는데.,0
님들 저 어캐해야되나요?,0
성적은 엉망인데다 나중에 뭘 하고싶은지도 모르겠어요,0
종점의  기적이라고 아십니까,0
기다렸다는듯 득달같이 달려온게 수상하다,0
300일 기념으로 뭐 해줄거없을까요...ㅜㅜ?,0
쿵쾅쿵쾅 드르르륵사실 올라가보기도하고 고무망치도 쳐봤는데소용없길래 튼건데 대단히 미친사람인건지하...,0
2020년대는  장난 아닐듯,0
그냥 현재  살아가는데 도저히 남편을 못믿겠어요,0
사전과제 이번에 내신분 있는지............,0
재석오빠께서 다시치믄 정말 너무나도 걱정되요...,0
서정원선수가 축구에  감독될때랑 너무 흡사한것이 불안하다,0
이러면 진짜 안되는거 아는데애기 아빠가 연락이 안되요,0
꽃길이 저에게도 앞으로 열릴까요?,0
다들 취업 앞두고 스트레스 고민 많다고 하는데..,0
 정도 더 그랬다는데 어떻게 해야하죠?,0
어머님들 감기걸렸을때 어떡하셨어요...........,0
그래도 아이에게 무리는 없는건가여??,0
 막뭘 어떻게 해야될지 존나 두려운거에요.....,0
 성추행인줄알고 진심 당황타요;;,0
그냥 잊고 내 인생 사는게 맞는거라는 걸 알면서도머리로는 이해되는데마음이 이해 못하는거 있지?,0
"소매치기들은  다 모인다고 보면 되고, 도라이 하나가 칼부림을 할 수도 있다.",0
저 왜  얘기를 우리 빼놓고 하지?,0
생리하면 되게 불편하다고 들었는데어떻하죠?ㅠㅠㅠㅠ,0
차단을 왜 푼걸까요...,0
구글 내가 폰 계정에 동기화를 안한거 같은데 어쩌죠 ///,0
물가가면 술먹고 진짜 위험하다.,0
기다려줬다가  차일까바 무섭네요 ㅠ,0
 이제 결혼식이 2주 정도 남았어요.,0
북핵 일났네. 큰 문제보다 더 심각한 위기다.,0
무슨 도대체  기준인지 모르겠어요...,0
나오는거 이러다 일주일전에 아닌가몰라요,0
"사망사건으로 비서 박지만 겁 먹은듯,,,,,",0
어캐해야할지... 저는 ,0
만약  경력이 3년정도 되면 이직 잘 할 수 있을까요? ㅠㅠ,0
" 이거 머죠,??",0
ㅠㅠ 무섭다 얘들아. 아이고..,0
정하지못햇습니다. 과를 아직,0
어느은행이  금리가 좀더 높고어떤상품으로 가입해야하는지 알아보는게 넘 어려워요,0
시체로 여기가면 돌아오나요?,0
 다들이렁상황이먄 어떠실거같아요?,0
조언좀 제발 해주세요,0
참고로 소극적이고 말주변이 없는데 이 탓일까요?,0
관리만 평소  잘 하면 나아질수 있는건지..,0
자꾸자신감을잃어가네요..ㅠㅠ,0
제대로 이성을 사귀어야 하는데 엉뚱한 곳에 시간낭비하고 있는 느낌이랄까요,0
어떻게 있으면 직장에 대처하나요.,0
안전할것같아용...ㅠㅠ 안쓰는게 그냥,0
더럽게 정말 아 전화 안오네요.....................ㅋㅋㅋㅋㅋㅋㅋㅋ,0
그래서 이대로 그냥 또 잃어버리는건가 두렵다,0
똥줄타서 안그래도  미칠거 같은데 더 죽겠어요...,0
나라직접적으로 저런사람이 지키는 군인이라니 걱정이 크다,0
진짜 제가  예민한거에요..?,0
 정말 어떻게해야될지..,0
두렵다... 참으로 전쟁은,0
자체가 제가 알바 처음이라..,0
 요즘 학교에서 뭐할까요...?,0
믿어도되는지.. ,0
부모는 저 히틀러가 환생한 것 같애 무서워,0
이런 경우는 처음이라서요,0
생리현상 진짜 맞는지 좀 갈켜주세요,0
정설인 일반적인 가장 알맞게 먹고 운동하라를 하기싫으니 이딴애기가 화제가 되는구나,0
어떻게 해야 토요일 오전09시에 끝날수있는건가요?,0
